Season,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_href,Weight,College,Height,Lg
2017-18,WOL,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,/gleague/players/b/bankstr01d.html,NA,None,NA,G-League
2016-17,TOT,40,39,1371,6.5,15.2,0.429,1,3,0.342,5.5,12.2,0.45,3.2,4.5,0.703,0.4,2.9,3.4,4.9,1.2,0.1,3.3,2.7,17.2,/gleague/players/b/barbeca01d.html,173,NC State,73,G-League
2017-18,SWR,29,14,840,7.5,17.3,0.437,1.2,3.8,0.307,6.4,13.5,0.473,4.7,5.9,0.797,1.2,3.2,4.4,5.6,1.2,0.2,2.9,2.6,21,/gleague/players/b/barbeca01d.html,173,NC State,73,G-League
2018-19,TOT,42,14,1092,7.4,16.7,0.445,0.9,3.8,0.228,6.6,12.9,0.508,4,6,0.67,0.9,3.9,4.8,6.5,1.5,0.1,3.4,2.3,19.7,/gleague/players/b/barbeca01d.html,173,NC State,73,G-League
2019-20,CPK,39,17,1217,7.2,15,0.477,1,3.1,0.311,6.2,11.9,0.521,2.5,3.4,0.737,0.9,3.7,4.6,7.1,1.2,0.1,3.3,2.6,19.5,/gleague/players/b/barbeca01d.html,173,NC State,73,G-League
2019-20,OKL,36,4,699,5.8,14.1,0.409,3.3,8.7,0.387,2.4,5.5,0.443,1.1,1.3,0.84,0.3,2.3,2.5,2.6,1,0.2,1.5,3.3,16.7,/gleague/players/b/barefse01d.html,190,None,74,G-League
2018-19,SWR,47,18,1179,10.1,22.8,0.441,2.7,7.9,0.341,7.4,15,0.494,2.7,3.4,0.786,1.3,4.3,5.6,1.9,1.6,0.2,2.7,2.3,25.5,/gleague/players/b/barfoja01d.html,NA,Arkansas,NA,G-League
2017-18,MAI,37,8,603,4.1,9.7,0.423,2,6.2,0.327,2.1,3.5,0.593,0.6,0.9,0.667,1.4,4.7,6.1,1.8,1,0.7,1.3,5.1,10.9,/gleague/players/b/barhadr01d.html,190,None,78,G-League
2018-19,RIO,7,0,55,2.6,8.5,0.308,0,1.3,0,2.6,7.2,0.364,1.3,1.3,1,2,2.6,4.6,2.6,0,0.7,2,5.9,6.5,/gleague/players/b/barklke01d.html,NA,None,NA,G-League
2018-19,TOT,35,4,647,4.2,8,0.528,1.2,4,0.296,3.1,4.1,0.753,0.9,1.1,0.842,1.8,4.3,6.1,1.5,1.1,1.3,1.1,2.6,10.5,/gleague/players/b/barnejo01d.html,NA,Missouri,NA,G-League
2017-18,MAI,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/gleague/players/b/barnele01d.html,NA,None,NA,G-League
2018-19,WOL,42,24,1140,4.5,9.5,0.475,1.7,4.3,0.407,2.8,5.2,0.53,2.6,3.1,0.838,0.6,4.9,5.5,1.9,0.8,0.7,1.5,1.7,13.4,/gleague/players/b/barryca01d.html,205,Florida,78,G-League
2019-20,WOL,20,2,320,4.8,10,0.483,1.9,5.3,0.362,2.9,4.7,0.619,1.2,1.6,0.786,0.5,3.8,4.3,2.9,0.5,0.3,1.5,2.3,13.4,/gleague/players/b/barryca01d.html,205,Florida,78,G-League
2020-21,WOL,14,3,375,5.7,11.9,0.476,2.7,6.4,0.418,3,5.5,0.544,2,2,1,1,3.6,4.5,2.8,0.8,0.1,1.9,2.9,17.3,/gleague/players/b/barryca01d.html,205,Florida,78,G-League
2016-17,ERI,15,0,178,4.7,13.8,0.338,1.2,3,0.4,3.4,10.7,0.321,1.2,2.8,0.429,3.2,5.1,8.3,2.4,0.6,2,3.2,5.1,11.7,/gleague/players/b/basspa01d.html,NA,Detroit,NA,G-League
2018-19,WOL,16,16,585,6.9,15.5,0.444,1.7,5.1,0.337,5.2,10.4,0.497,2,2.8,0.717,1.7,7.1,8.7,1.8,1.2,1.7,1.7,2.3,17.5,/gleague/players/b/bateske01d.html,229,Ohio State,80,G-League
2019-20,TOT,4,2,102,8.8,16.6,0.532,4.2,7.4,0.571,4.6,9.2,0.5,2.8,4.2,0.667,2.1,6.7,8.8,1.1,0,1.1,1.4,2.5,25.4,/gleague/players/b/bateske01d.html,229,Ohio State,80,G-League
2019-20,WOL,43,20,953,4.8,9.2,0.52,1.4,3.5,0.387,3.4,5.7,0.603,1.3,1.9,0.714,0.9,4.6,5.5,2,1.1,0.5,1.2,2.7,13.2,/gleague/players/b/battlty01d.html,205,None,78,G-League
2017-18,WES,32,3,519,4.2,11.4,0.37,1.5,4.1,0.373,2.7,7.4,0.368,2.1,2.6,0.811,2.3,3.4,5.7,1.5,2.4,0.6,1,3.1,12.1,/gleague/players/b/baulkde01d.html,201,None,76,G-League
2018-19,WES,39,7,798,5.2,12.7,0.411,1.9,5.4,0.358,3.3,7.3,0.451,0.9,1.3,0.75,1.5,3.8,5.3,1.9,1.3,0.9,1.6,3.6,13.4,/gleague/players/b/baulkde01d.html,201,None,76,G-League
2019-20,GRR,36,4,489,5.1,16,0.317,3,10.4,0.291,2.1,5.7,0.364,0.9,1.4,0.632,0.7,3.3,4,2.1,1,0.6,2,2.8,14.7,/gleague/players/b/baulkde01d.html,201,None,76,G-League
2017-18,SBL,36,18,714,5.6,12.9,0.435,3,7.5,0.399,2.6,5.4,0.486,1.4,1.6,0.875,0.8,3.4,4.2,0.9,0.9,0.7,1.2,2,15.6,/gleague/players/b/beachvj01d.html,186,Notre Dame,80,G-League
2018-19,TOT,43,15,916,3.7,10,0.369,2.4,7,0.339,1.3,3.1,0.436,1,1.2,0.839,0.6,3.7,4.3,1.6,1.1,0.5,1,2.3,10.8,/gleague/players/b/beachvj01d.html,186,Notre Dame,80,G-League
2019-20,WCB,42,5,691,4.2,11.1,0.376,2.6,7.6,0.338,1.6,3.5,0.456,1,1.3,0.792,0.7,3.4,4.1,1.6,1.3,0.9,1.5,1.7,12.6,/gleague/players/b/beachvj01d.html,186,Notre Dame,80,G-League
2016-17,SFL,16,12,497,7.8,17.1,0.458,2.2,5.9,0.37,5.6,11.2,0.503,4.1,4.6,0.889,1.7,7.1,8.8,3,1.2,0.1,2.5,2.2,21.9,/gleague/players/b/beaslma01d.html,NA,Florida State,NA,G-League
2016-17,LIN,36,12,695,4.5,12.2,0.369,2.7,7.4,0.366,1.8,4.9,0.372,2,2.6,0.78,1.2,4,5.2,2.3,2,0.3,1.9,5.3,13.7,/gleague/players/b/beechbe01d.html,NA,North Florida,NA,G-League
2017-18,HAW,20,2,335,4,10.7,0.37,2.4,7.1,0.333,1.6,3.7,0.441,2.4,3,0.786,1.2,6.1,7.3,2,0.8,0.6,2.9,4,12.7,/gleague/players/b/beechbe01d.html,NA,North Florida,NA,G-League
2016-17,TOT,35,4,578,7.3,14.2,0.518,0.1,0.4,0.167,7.3,13.8,0.527,4.2,6.2,0.67,5.1,5.9,11,1.6,1.7,0.2,3.1,5.2,18.9,/gleague/players/b/behanch01d.html,NA,Louisville,NA,G-League
2017-18,SLS,9,4,195,5,9.6,0.519,0.2,0.6,0.333,4.8,9,0.531,2,3.5,0.579,3.7,5.4,9,2.4,0.9,1.3,3,5,12.2,/gleague/players/b/behanch01d.html,NA,Louisville,NA,G-League
2018-19,WIS,8,0,151,4.8,8.3,0.571,0.5,1.9,0.25,4.3,6.4,0.667,1.2,1.7,0.714,1.2,1.9,3.1,5.7,0.7,0,2.6,3.3,11.2,/gleague/players/b/bellhtr01d.html,NA,None,NA,G-League
2017-18,SAN,1,1,28,9,11.6,0.778,0,0,0,9,11.6,0.778,0,0,0,1.3,6.4,7.7,6.4,0,1.3,2.6,2.6,18,/gleague/players/b/belljo01d.html,NA,Oregon,NA,G-League
2020-21,EBH,7,7,192,10.1,12.6,0.806,0.4,1.1,0.333,9.7,11.4,0.852,1.5,1.9,0.8,4.3,7.7,12,4.3,1.7,2.8,4.5,3.9,23.1,/gleague/players/b/belljo01d.html,NA,Oregon,NA,G-League
2016-17,SLS,6,5,189,7.6,14.1,0.541,1.1,3,0.375,6.5,11,0.586,2.1,3.8,0.55,1.7,5.5,7.2,4,1.7,1.1,2.9,1.9,18.5,/gleague/players/b/bembrde01d.html,NA,St. Joseph's,NA,G-League
2017-18,HAW,4,3,105,6.5,13.4,0.487,0,1.4,0,6.5,12,0.543,2.4,3.8,0.636,1.7,6.9,8.6,4.1,3.1,0.3,3.4,5.1,15.4,/gleague/players/b/bembrde01d.html,NA,St. Joseph's,NA,G-League
2019-20,WIS,13,13,374,9.2,18.2,0.508,2.7,7,0.384,6.5,11.2,0.586,2.6,3.3,0.794,2.6,8.6,11.2,2.9,0.8,2.1,3.2,4.2,25.6,/gleague/players/b/bendedr01d.html,249,None,84,G-League
2018-19,SLS,2,0,27,0,4,0,0,0,0,0,4,0,2.7,5.3,0.5,1.3,9.3,10.7,0,0,1.3,1.3,6.7,2.7,/gleague/players/b/benjaky01d.html,NA,None,NA,G-League
2019-20,SLS,37,0,684,4.2,10.2,0.415,2.1,6.3,0.328,2.2,3.9,0.554,0.7,1.2,0.565,1.7,4.7,6.4,1.4,1.1,1.1,1.2,2.8,11.4,/gleague/players/b/benlema01d.html,225,Georgia State,77,G-League
2020-21,SLS,11,0,218,5,10.7,0.462,2.3,6.8,0.341,2.6,4,0.667,0.5,0.8,0.6,1.7,4.5,6.1,1.7,1,0.5,1,5.1,12.7,/gleague/players/b/benlema01d.html,225,Georgia State,77,G-League
2016-17,LIN,2,2,70,7.2,14.4,0.5,3.1,6.7,0.462,4.1,7.7,0.533,1,2.1,0.5,3.1,5.1,8.2,3.6,2.1,1,3.1,2.1,18.5,/gleague/players/b/bennean01d.html,245,UNLV,80,G-League
2017-18,TOT,35,32,940,6.7,14.2,0.47,3.4,8.2,0.423,3.2,6,0.535,2.4,3.1,0.775,2.5,6.5,9,2.4,1.3,0.8,2.8,2.7,19.1,/gleague/players/b/bennean01d.html,245,UNLV,80,G-League
2018-19,ACC,25,7,523,7,12.7,0.546,3.6,8.1,0.453,3.3,4.7,0.706,3.4,4.1,0.831,1.6,6.1,7.7,2.1,1.5,0.7,2.1,3.2,20.9,/gleague/players/b/bennean01d.html,245,UNLV,80,G-League
2016-17,SFL,50,50,1597,9.4,15.6,0.602,0.1,0.2,0.429,9.4,15.5,0.604,4.2,5.4,0.771,3.7,8.1,11.9,0.8,0.7,2.5,1.8,4.4,23.1,/gleague/players/b/bensoke01d.html,238,Oakland,83,G-League
2016-17,FOR,20,4,434,6.4,17.6,0.363,2.2,7.2,0.31,4.1,10.4,0.4,5,6.2,0.8,2,5.6,7.5,1,1.2,0.4,2.2,3.3,20,/gleague/players/b/bentibe01d.html,NA,Providence,NA,G-League
2017-18,GRR,17,2,268,2.7,9.7,0.278,0.7,3.1,0.217,2,6.6,0.306,0.8,1.2,0.667,1.2,6,7.3,1.3,2.1,0.3,2.7,3.2,6.9,/gleague/players/b/bernama01d.html,205,None,77,G-League
2017-18,RAP,46,7,1142,5.5,12.7,0.437,2.1,6.3,0.338,3.4,6.4,0.535,3.9,4.7,0.838,0.5,2.9,3.4,3.5,1.2,0.1,1.9,3.1,17.1,/gleague/players/b/berryda01d.html,185,Weber State,76,G-League
2018-19,SBL,21,6,469,7,17.9,0.391,2.1,8.1,0.267,4.8,9.8,0.492,1.8,2.3,0.8,0.5,1.6,2.1,4,1,0.5,2.4,3.1,18,/gleague/players/b/berryjo01d.html,195,UNC,72,G-League
2019-20,SWR,34,6,590,6.4,15.1,0.425,2.3,7,0.325,4.1,8.1,0.511,0.9,1.2,0.737,1.2,3.2,4.4,4.5,2.1,0.3,2.4,2.7,16.6,/gleague/players/b/berryjo01d.html,195,UNC,72,G-League
2016-17,AUS,4,4,124,4.6,12.2,0.381,3.8,9.6,0.394,0.9,2.6,0.333,4.1,4.1,1,0.9,3.2,4.1,2.6,2,2,2.9,3.2,17.1,/gleague/players/b/bertada01d.html,NA,None,NA,G-League
2017-18,AUS,1,1,31,10.5,18.6,0.563,7,12.8,0.545,3.5,5.8,0.6,3.5,4.6,0.75,1.2,4.6,5.8,1.2,2.3,1.2,1.2,5.8,31.4,/gleague/players/b/bertada01d.html,NA,None,NA,G-League
2019-20,EBH,35,23,925,3.1,9.1,0.338,1.8,6,0.294,1.3,3.2,0.42,0.9,1.3,0.706,1.4,2.4,3.8,2,0.9,0.6,2,2.5,9.4,/gleague/players/b/bessja01d.html,220,Saint Louis,78,G-League
2017-18,RAP,47,39,1227,3.6,8.4,0.428,1.9,5,0.379,1.7,3.4,0.5,1.8,2.2,0.813,0.7,2.8,3.4,2.3,0.9,0,1.6,2.8,10.8,/gleague/players/b/bestaa01d.html,185,None,76,G-League
2017-18,REN,30,2,369,4.7,13.6,0.345,2.8,8.1,0.349,1.9,5.5,0.339,2.3,3.1,0.75,1.2,5.6,6.7,1,1,0.3,1.2,2.3,14.5,/gleague/players/b/bethemi01d.html,NA,None,NA,G-League
2018-19,GRR,46,13,1045,5.9,14.3,0.411,3,8.5,0.347,2.9,5.8,0.506,2.3,3.1,0.736,1,4.5,5.5,1.5,1.5,0.1,2.1,3,17.1,/gleague/players/b/bethemi01d.html,NA,None,NA,G-League
2019-20,RAP,22,11,498,4.4,12,0.367,3.3,8.9,0.366,1.2,3.1,0.372,1.2,1.4,0.85,1.2,4.6,5.8,2.7,1.7,0.5,1.9,3.8,14.5,/gleague/players/b/bethemi01d.html,NA,None,NA,G-League
2016-17,CAN,40,1,464,5.7,9.7,0.592,0.2,0.4,0.4,5.6,9.3,0.6,3.1,4.6,0.678,5.1,5.4,10.6,0.3,0.6,1.3,0.8,4.9,14.7,/gleague/players/b/beverge01d.html,235,None,80,G-League
