Season,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_href,Weight,College,Height,Lg
2017-18,RIO,16,1,303,4,8.6,0.472,0.8,3.2,0.259,3.2,5.3,0.6,1.4,2.4,0.6,1.1,4.5,5.6,6.4,2.6,0.7,2,3.8,10.3,/gleague/players/d/davisky02d.html,NA,None,NA,G-League
2016-17,WES,24,0,312,5.1,8.9,0.571,0,0.1,0,5.1,8.8,0.579,1.3,1.7,0.733,2.9,5.2,8.1,1.7,0.9,0.9,1,4,11.4,/gleague/players/d/davismi03d.html,225,Illinois,81,G-League
2018-19,CGG,22,0,230,5,10,0.5,0,0.3,0,5,9.7,0.516,1.9,2.2,0.857,2.3,7,9.4,2.2,1.6,0.8,2.3,4.9,11.9,/gleague/players/d/davismi03d.html,225,Illinois,81,G-League
2019-20,SWR,1,0,2,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,/gleague/players/d/davismi04d.html,180,None,76,G-League
2016-17,CAN,1,0,19,0,5.7,0,0,1.9,0,0,3.8,0,0,0,0,0,1.9,1.9,3.8,0,0,1.9,1.9,0,/gleague/players/d/davistr01d.html,180,None,72,G-League
2017-18,MAI,46,12,1164,7.8,18.5,0.419,2.9,7.6,0.38,4.9,10.9,0.446,5.3,6.2,0.864,1,3.5,4.5,6.6,1.8,0.2,3.1,3,23.7,/gleague/players/d/davistr01d.html,180,None,72,G-League
2018-19,MAI,9,0,140,4.4,13.6,0.321,1.8,6.2,0.292,2.6,7.5,0.345,2.3,3.1,0.75,1.3,6.2,7.5,6.7,1.5,0,3.1,1.5,12.9,/gleague/players/d/davistr01d.html,180,None,72,G-League
2019-20,MAI,38,5,864,6.8,14.5,0.468,2.2,5.6,0.396,4.6,8.9,0.514,2.4,2.8,0.838,0.9,5.2,6,6.3,1.4,0,2.7,2,19.8,/gleague/players/d/davistr01d.html,180,None,72,G-League
2018-19,OKL,15,8,401,8.8,15.4,0.573,0,0,0,8.8,15.4,0.573,5.6,7.3,0.765,7.8,7.9,15.7,2.3,0.8,2.4,2.6,4.2,23.2,/gleague/players/d/davisty01d.html,NA,Texas A&M,NA,G-League
2016-17,REN,42,6,763,8.3,13.6,0.611,0,0,0,8.3,13.6,0.611,2.7,3.6,0.75,4,4.6,8.6,0.8,0.5,2.3,1.5,3,19.3,/gleague/players/d/daviswi01d.html,NA,None,NA,G-League
2017-18,TOT,46,4,734,6.8,11.9,0.574,0,0.1,0,6.8,11.7,0.582,3.1,4.1,0.762,3.9,4.4,8.2,1.2,1,1.1,1.8,2.6,16.8,/gleague/players/d/daviswi01d.html,NA,None,NA,G-League
2018-19,LIN,10,0,115,6.9,12.5,0.55,0.6,0.9,0.667,6.3,11.6,0.541,0,0.3,0,3.8,5.6,9.4,1.9,0.3,1.9,1.6,2.5,14.4,/gleague/players/d/daviswi01d.html,NA,None,NA,G-League
2016-17,TOT,42,3,956,6.6,15.2,0.432,4.3,10.4,0.415,2.2,4.7,0.468,1.5,2,0.75,0.7,3.1,3.8,1.4,1,0.2,1.4,2.6,18.9,/gleague/players/d/dawkian01d.html,206,Duke,76,G-League
2017-18,ACC,24,4,567,5,13,0.385,3.7,10.1,0.371,1.3,2.9,0.435,2.3,2.8,0.818,0.6,2.3,2.9,2.2,0.9,0.2,1.4,2.2,16.1,/gleague/players/d/dawkian01d.html,206,Duke,76,G-League
2019-20,EBH,37,23,848,5.5,12.2,0.448,2.8,7.9,0.357,2.7,4.4,0.612,0.6,0.6,0.867,1.7,3.7,5.3,1.6,1.1,0.3,1.7,2.5,14.6,/gleague/players/d/dawkiau01d.html,205,None,78,G-League
2016-17,ERI,33,13,877,7.8,15.8,0.492,0,0.2,0,7.8,15.6,0.497,2,3.7,0.533,3.9,5.8,9.6,2.2,2.3,0.9,2.5,2.8,17.5,/gleague/players/d/dawsobr01d.html,225,Michigan State,78,G-League
2016-17,SLS,2,2,51,2.8,8.5,0.333,0,0,0,2.8,8.5,0.333,3.5,4.2,0.833,3.5,10.6,14.1,2.1,2.1,1.4,4.2,4.2,9.2,/gleague/players/d/dawsoer01d.html,250,None,81,G-League
2017-18,SWR,37,9,548,3.9,9.9,0.393,2.5,6.8,0.365,1.4,3,0.457,0.2,0.2,1,0.5,3.9,4.3,2.4,1.4,0.5,1.5,5.3,10.4,/gleague/players/d/dawsojo01d.html,205,None,74,G-League
2018-19,SWR,29,0,365,3.2,9,0.352,2.3,6,0.377,0.9,3,0.3,0.2,0.4,0.5,1,3.4,4.3,3.8,1.3,0.6,2.2,5.6,8.8,/gleague/players/d/dawsojo01d.html,205,None,74,G-League
2019-20,SWR,25,2,274,2.8,9.5,0.292,1.8,5.9,0.311,0.9,3.5,0.259,0.3,0.4,0.667,0.4,3.4,3.8,2.6,1.3,0.4,2.4,6.4,8,/gleague/players/d/dawsojo01d.html,205,None,74,G-League
2016-17,WCB,12,0,113,4.1,8.9,0.464,0,0,0,4.1,8.9,0.464,2.2,3.8,0.583,2.9,5.7,8.6,1.6,1.3,1.3,2.5,6.4,10.5,/gleague/players/d/deberco01d.html,NA,None,NA,G-League
2018-19,TOT,16,0,211,5.5,13,0.421,0.2,2.4,0.071,5.3,10.6,0.5,2.2,2.4,0.929,1.5,3.9,5.5,2.4,1,0.5,3.9,3.6,13.3,/gleague/players/d/decosqu01d.html,NA,None,NA,G-League
2020-21,SWR,7,0,78,2.8,6,0.462,0.9,1.4,0.667,1.8,4.6,0.4,1.4,1.4,1,2.8,7.8,10.6,2.3,1.4,2.3,2.8,6.5,9.2,/gleague/players/d/delauja01d.html,NA,Duke,NA,G-League
2018-19,ACC,44,43,1471,8.6,13.9,0.618,0.2,0.8,0.258,8.4,13.2,0.638,2.5,4.2,0.612,4.3,11.5,15.9,2.9,0.7,1.2,3.2,2.8,20,/gleague/players/d/delgaan01d.html,NA,Seton Hall,NA,G-League
2019-20,SFL,2,0,44,10.6,15.5,0.684,0,0,0,10.6,15.5,0.684,0.8,4.9,0.167,2.5,7.4,9.8,2.5,2.5,0,3.3,3.3,22.1,/gleague/players/d/delgaan01d.html,NA,Seton Hall,NA,G-League
2017-18,REN,45,26,1117,3.9,8,0.484,1,2.8,0.356,2.9,5.2,0.553,1.9,2.5,0.769,2.1,5.8,7.9,2.2,1.1,0.6,1.3,4.3,10.7,/gleague/players/d/dempsco01d.html,193,Sacramento State,76,G-League
2018-19,STK,50,42,1535,4.9,10.9,0.447,1,3.1,0.311,3.9,7.8,0.502,3.2,3.9,0.808,1.5,3.9,5.4,3.9,1.4,0.4,2.2,3.7,13.8,/gleague/players/d/dempsco01d.html,193,Sacramento State,76,G-League
2019-20,STK,41,40,1406,5.4,12.2,0.442,1.5,4,0.372,3.9,8.2,0.477,1.7,2.4,0.699,1.4,4.3,5.7,3.1,1.2,0.7,1.9,3.4,15.1,/gleague/players/d/dempsco01d.html,193,Sacramento State,76,G-League
2020-21,GLI,15,0,299,3.7,7.5,0.5,1,2.6,0.364,2.8,4.8,0.575,0.8,1.3,0.636,1.4,3.4,4.8,2,1.1,0.7,1.7,3.3,9.9,/gleague/players/d/dempsco01d.html,193,Sacramento State,76,G-League
2016-17,TEX,3,0,28,6.4,20.6,0.313,0,2.6,0,6.4,18,0.357,3.9,5.1,0.75,5.1,10.3,15.4,2.6,0,1.3,3.9,6.4,16.7,/gleague/players/d/dengde01d.html,NA,None,NA,G-League
2017-18,TEX,24,24,893,8.5,19.1,0.445,4,10.5,0.381,4.5,8.6,0.523,6.2,7.5,0.838,0.4,3.2,3.6,4.1,2.3,0,2.4,2.8,27.3,/gleague/players/d/dentmju01d.html,185,Washington,72,G-League
2018-19,TEX,7,4,198,6.4,16,0.398,4.4,10.7,0.407,2,5.3,0.379,5.1,5.8,0.875,0.4,1.6,2,2.4,1.5,0,1.6,2.2,22.2,/gleague/players/d/dentmju01d.html,185,Washington,72,G-League
2018-19,FOR,43,8,763,4.6,11.3,0.408,2.7,6.4,0.419,1.9,4.9,0.394,1.7,2.1,0.818,1.2,4.2,5.4,1,0.9,0.1,1.9,2.5,13.6,/gleague/players/d/denzede01d.html,200,Samford,77,G-League
2019-20,FOR,6,0,79,2.3,7.3,0.313,0.9,5,0.182,1.4,2.3,0.6,0.9,0.9,1,0.9,6.8,7.7,1.8,1.4,0.5,3.2,1.8,6.4,/gleague/players/d/denzede01d.html,200,Samford,77,G-League
2017-18,RIO,10,0,47,3.8,6.1,0.625,2.3,3.1,0.75,1.5,3.1,0.5,2.3,3.1,0.75,0.8,0,0.8,3.8,0,0,8.4,3.8,12.3,/gleague/players/d/depauge01d.html,205,None,77,G-League
2018-19,SAN,35,35,953,6.7,14.4,0.467,2.5,6,0.419,4.2,8.3,0.502,2.2,2.6,0.841,1.9,5.5,7.4,2.5,1,0.7,2.4,3.8,18.2,/gleague/players/d/derrima01d.html,249,Georgetown,79,G-League
2019-20,CPK,39,36,1087,6.4,14.5,0.442,2.2,6.8,0.328,4.2,7.7,0.541,1.3,1.5,0.889,1.9,5,6.9,2.4,0.8,0.5,2.7,3.7,17.2,/gleague/players/d/derrima01d.html,249,Georgetown,79,G-League
2016-17,LOS,48,20,1139,5.4,12.6,0.432,3.4,7.7,0.434,2.1,4.9,0.429,1.3,1.7,0.759,0.4,2.7,3.1,2.7,1.1,0.1,1.7,2.9,15.5,/gleague/players/d/devritr01d.html,NA,None,NA,G-League
2020-21,LKL,12,3,332,9.9,17,0.58,0.8,1.5,0.5,9.1,15.5,0.587,2.3,3,0.75,3.7,9.9,13.6,2.6,0.8,2.7,2.5,3.7,24.1,/gleague/players/d/diakima01d.html,NA,Virginia,NA,G-League
2016-17,TOT,26,21,724,8.3,16.6,0.502,0,0.2,0,8.3,16.4,0.508,2.7,3.6,0.753,2.3,8.7,10.9,0.9,0.7,3.1,2.1,4.5,19.3,/gleague/players/d/diallch01d.html,NA,Kansas,NA,G-League
2018-19,OKL,6,6,179,8.6,19.5,0.443,1.4,4.6,0.304,7.2,14.9,0.486,4.4,5.2,0.846,3.4,5.6,9.1,1.6,2.2,1.2,1.8,4.4,23.1,/gleague/players/d/diallha01d.html,NA,Kentucky,NA,G-League
2020-21,DBC,6,0,51,4.9,9.2,0.538,0.7,0.7,1,4.2,8.5,0.5,0,2.1,0,5.6,8.5,14.1,0.7,3.5,2.8,4.9,5.6,10.6,/gleague/players/d/dianela01d.html,NA,Cal State Northridge,NA,G-League
2017-18,"NAS",7,0,30,0,1.2,0,0,0,0,0,1.2,0,1.2,2.4,0.5,1.2,6,7.2,1.2,0,1.2,4.8,7.2,1.2,/gleague/players/d/dimema01d.html,220,None,81,G-League
2017-18,MAI,30,6,405,2.7,7.8,0.341,1,3.5,0.282,1.7,4.4,0.388,1.3,1.9,0.714,1.1,2.8,3.8,3.6,1.1,0.6,1.3,3.6,7.6,/gleague/players/d/dinglda01d.html,NA,None,NA,G-League
2016-17,WCB,9,9,337,6.1,12.7,0.479,1.3,3.1,0.414,4.8,9.6,0.5,5.2,6.5,0.803,0.3,3.2,3.5,7.8,2.1,0.5,2.7,3,18.7,/gleague/players/d/dinwisp01d.html,200,Colorado,78,G-League
2018-19,WIS,4,4,112,7.1,16.4,0.431,2.3,8.4,0.269,4.8,8,0.6,3.2,3.9,0.833,2.3,3.2,5.5,2.6,1.9,1.3,5.8,2.9,19.6,/gleague/players/d/divindo01d.html,NA,Villanova,NA,G-League
2016-17,MAI,42,9,699,4.8,8.9,0.547,0,0,0,4.8,8.9,0.547,2.1,3.5,0.612,3.7,3.9,7.6,0.5,0.2,1.5,2.1,4.3,11.8,/gleague/players/d/dixonas01d.html,NA,None,NA,G-League
2017-18,SLS,32,4,461,3.7,8.4,0.439,0,0.1,0,3.7,8.3,0.443,2.8,4.5,0.632,3.6,3.6,7.2,0.8,0.7,2.3,1.7,5.5,10.2,/gleague/players/d/dixonas01d.html,NA,None,NA,G-League
2018-19,TEX,10,2,179,5.2,8.6,0.605,0,0,0,5.2,8.6,0.605,0.8,2.6,0.308,3.2,4.8,8,0,0.8,1.4,1,5.6,11.3,/gleague/players/d/dixonas01d.html,NA,None,NA,G-League
2019-20,CGG,1,0,15,7.2,16.8,0.429,0,0,0,7.2,16.8,0.429,2.4,2.4,1,16.8,2.4,19.2,0,0,4.8,2.4,9.6,19.2,/gleague/players/d/dixonas01d.html,NA,None,NA,G-League
2017-18,MAI,46,25,1530,4.8,12.4,0.388,2.7,7.6,0.35,2.2,4.8,0.449,2.1,2.4,0.846,1,4.1,5.2,2.9,0.8,0.2,2.2,2.4,14.4,/gleague/players/d/dixonda02d.html,210,William & Mary,78,G-League
2018-19,"NAS",29,10,726,4.9,12.2,0.398,1.8,5.9,0.311,3,6.3,0.48,1.3,2.2,0.591,0.5,4.4,4.9,3.2,0.8,0.3,2.5,2.7,12.8,/gleague/players/d/dixonda02d.html,210,William & Mary,78,G-League
2019-20,WCB,16,0,261,4.6,11.2,0.407,2.5,7.3,0.34,2.1,3.9,0.536,1.1,1.5,0.727,0.8,3.7,4.6,3.7,1.5,0.8,1.7,2.6,13.1,/gleague/players/d/dixonda02d.html,210,William & Mary,78,G-League
2018-19,TOT,12,0,113,6.7,13.4,0.5,2.9,6.4,0.45,3.8,7,0.545,3.8,4.8,0.8,1.6,3.5,5.1,0.6,1.6,0.3,2.5,4.1,20.1,/gleague/players/d/dixsodi01d.html,NA,None,NA,G-League
2017-18,TOT,9,0,78,2.8,6.9,0.4,0,0,0,2.8,6.9,0.4,1.4,1.8,0.75,4.2,7.4,11.5,0.9,0.9,1.4,6.5,7.8,6.9,/gleague/players/d/djittsi01d.html,NA,None,NA,G-League
2017-18,TOT,3,0,22,1.6,8.2,0.2,0,0,0,1.6,8.2,0.2,0,0,0,3.3,3.3,6.5,1.6,1.6,1.6,3.3,11.5,3.3,/gleague/players/d/doddda01d.html,NA,None,NA,G-League
2019-20,LKL,11,8,295,4.4,11.3,0.387,2,6.6,0.296,2.4,4.8,0.513,0.2,0.5,0.5,0.6,5.4,6,1.5,0.7,1.1,0.9,1.6,11.3,/gleague/players/d/dominst01d.html,217,California,79,G-League
2020-21,CAN,4,0,26,2.8,9.7,0.286,0,2.8,0,2.8,6.9,0.4,0,0,0,9.7,2.8,12.5,9.7,1.4,0,4.2,5.5,5.5,/gleague/players/d/doolikr01d.html,NA,Oklahoma,NA,G-League
2017-18,HAW,10,8,330,7.3,17,0.429,3.8,8.8,0.432,3.5,8.2,0.427,2.4,3.2,0.759,1.6,5.5,7.1,2.7,1.5,0.2,2,1.7,20.8,/gleague/players/d/dorsety01d.html,NA,Oregon,NA,G-League
2018-19,TOT,5,1,159,10,19.7,0.506,2.9,8.4,0.351,7,11.3,0.62,7.2,7.5,0.97,0.7,7.2,7.9,5,2,0.9,2.7,2.5,30.1,/gleague/players/d/dorsety01d.html,NA,Oregon,NA,G-League
2019-20,OKL,13,12,414,6.7,15.3,0.438,2.2,6.5,0.333,4.5,8.8,0.515,3.9,6.5,0.6,1.9,3.7,5.6,3,1,0.7,2.5,3.5,22.1,/gleague/players/d/dortlu01d.html,215,Arizona State,75,G-League
2017-18,WES,13,13,461,7.2,14.7,0.489,2.3,6.1,0.385,4.8,8.6,0.564,1.8,2.3,0.767,0.4,5.7,6.1,2.6,1,0.1,2.8,1.9,18.5,/gleague/players/d/dotsoda01d.html,NA,Houston,NA,G-League
2020-21,CAN,10,10,314,5.6,12,0.467,1,3.8,0.273,4.6,8.3,0.556,1.6,1.9,0.824,1,3.2,4.2,6.3,1.6,0.2,2.2,2.8,14.9,/gleague/players/d/dotsode01d.html,NA,Kansas,NA,G-League
2016-17,WES,2,1,34,3.2,13.8,0.231,1.1,5.3,0.2,2.1,8.5,0.25,2.1,2.1,1,0,1.1,1.1,3.2,3.2,0,1.1,4.2,9.5,/gleague/players/d/doubyqu01d.html,175,Rutgers,75,G-League
2019-20,GRR,16,14,432,8.5,17.5,0.486,2.7,7.5,0.356,5.8,10,0.583,2.3,2.7,0.844,1.7,5.7,7.3,2,1,0.6,3.6,2.9,23.2,/gleague/players/d/doumbse01d.html,230,None,80,G-League
2017-18,TOT,32,0,350,6.6,14.9,0.441,3.4,7.9,0.429,3.2,7,0.456,1,1.6,0.625,0.5,4,4.5,1.5,0.9,0.1,1,2.8,17.6,/gleague/players/d/downijo01d.html,205,None,77,G-League
2020-21,LKL,15,0,296,5,10.3,0.482,0.9,1.7,0.5,4.1,8.6,0.479,0.7,0.7,1,0.7,2.2,2.9,4.5,1.5,0.1,1.7,1.9,11.9,/gleague/players/d/dowtije01d.html,NA,Rhode Island,NA,G-League
2017-18,LIN,45,44,1591,7.7,18.4,0.418,3.3,9,0.371,4.3,9.3,0.464,2.2,2.9,0.778,1.2,5.2,6.3,4.5,1.5,0.5,3.4,2.9,20.9,/gleague/players/d/doylemi01d.html,180,Loyola (IL),76,G-League
2019-20,WCB,40,37,1391,6.5,16.4,0.4,3.5,9.6,0.36,3.1,6.7,0.458,1.1,1.5,0.719,0.5,3.8,4.3,6.2,2,0.6,3.5,3.2,18.1,/gleague/players/d/doylemi01d.html,180,Loyola (IL),76,G-League
2017-18,OKL,43,38,1224,6.4,13.8,0.465,1.6,4.7,0.34,4.8,9.1,0.529,1.9,3,0.653,1.5,5.6,7.1,3.4,1.7,0.3,2.7,3.1,16.4,/gleague/players/d/doziepj01d.html,205,South Carolina,78,G-League
2018-19,MAI,46,46,1624,8.4,18.2,0.46,1.6,5.2,0.312,6.8,13,0.519,3.1,4.6,0.668,1.4,5.3,6.7,6.7,1.3,0.7,3.5,3.2,21.5,/gleague/players/d/doziepj01d.html,205,South Carolina,78,G-League
2019-20,WCB,18,16,664,7.6,17.3,0.438,1.7,5.2,0.326,5.9,12.2,0.484,2.3,3.1,0.741,1.4,6.1,7.4,7.5,1.6,0.7,3.8,2.6,20.9,/gleague/players/d/doziepj01d.html,205,South Carolina,78,G-League
2017-18,WES,5,0,50,4.3,5.8,0.75,2.2,2.2,1,2.2,3.6,0.6,0,0,0,2.2,5.8,7.9,2.9,1.4,0.7,1.4,3.6,10.8,/gleague/players/d/drameou01d.html,NA,None,NA,G-League
2016-17,SFL,10,1,237,4.7,9.9,0.477,2.1,5.3,0.4,2.6,4.6,0.567,0.8,1.1,0.714,0.6,3.5,4.1,9,1.1,0.2,3.3,3.5,12.3,/gleague/players/d/drewla01d.html,180,UCLA,74,G-League
2017-18,SFL,35,22,1076,5.3,12.1,0.435,2.4,5.9,0.401,2.9,6.2,0.468,0.8,1.2,0.694,0.4,4.9,5.4,8.7,1.5,0.1,3,2.2,13.8,/gleague/players/d/drewla01d.html,180,UCLA,74,G-League
2016-17,SAN,43,17,770,3.9,8.6,0.457,0.6,2.1,0.295,3.3,6.5,0.507,1.7,2.2,0.787,1.7,5.6,7.3,2.8,1.4,1.1,1.3,2.6,10.2,/gleague/players/d/drisdte01d.html,175,None,77,G-League
2018-19,TOT,14,0,158,3.6,8.9,0.41,1.1,2.1,0.556,2.5,6.8,0.367,0.2,0.5,0.5,1.4,4.3,5.7,2.1,2.1,0.2,1.4,3.2,8.7,/gleague/players/d/drisdte01d.html,175,None,77,G-League
2016-17,WCB,25,7,530,5.4,12.2,0.439,2.7,6.3,0.43,2.6,5.9,0.448,2.9,4.6,0.642,1.7,4.1,5.8,1.4,0.6,0.1,1.6,3.9,16.4,/gleague/players/d/dukandu01d.html,220,Wisconsin,82,G-League
2017-18,TOT,24,1,242,3.6,10.3,0.348,2.4,6.8,0.348,1.2,3.4,0.348,1.2,1.9,0.615,0.1,4,4.2,1.6,0.9,0.1,1.8,3.1,10.7,/gleague/players/d/dukandu01d.html,220,Wisconsin,82,G-League
2018-19,TOT,31,4,586,5.4,11.7,0.461,1.7,5.2,0.333,3.7,6.6,0.561,4.1,5.1,0.795,2,4.9,6.9,1.6,0.9,0.4,1.4,4.7,16.6,/gleague/players/d/dukandu01d.html,220,Wisconsin,82,G-League
2016-17,IOW,35,16,598,3.6,8.7,0.417,1.8,5,0.361,1.8,3.7,0.492,1.2,1.3,0.952,0.7,3.6,4.2,1.3,1,0.4,1.8,1.7,10.2,/gleague/players/d/dunhake01d.html,205,Butler,76,G-League
2018-19,CGG,50,1,1071,4.3,9.1,0.474,2.7,5.8,0.454,1.7,3.3,0.51,1.7,2.1,0.823,0.8,3,3.7,1.2,1,0.1,1.2,2.3,13,/gleague/players/d/dunhake01d.html,205,Butler,76,G-League
2019-20,CGG,30,0,329,4.4,10.5,0.417,2.1,6.2,0.333,2.3,4.3,0.538,0.9,1.3,0.667,0.8,2.8,3.6,1.5,1.1,0,1.4,2.2,12.4,/gleague/players/d/dunhake01d.html,205,Butler,76,G-League
2016-17,CAN,39,11,653,5.6,13.1,0.426,0,0.1,0,5.6,13,0.43,5,6.8,0.734,3.1,5.3,8.4,1,1.9,2.4,2.3,6.3,16.2,/gleague/players/d/dunigmi01d.html,245,Oregon,82,G-League
2017-18,WIS,22,9,446,4.9,10.9,0.452,0,0,0,4.9,10.9,0.452,4.4,5.8,0.75,2.8,4.8,7.7,1.5,0.8,1.1,1.9,4.8,14.2,/gleague/players/d/dunigmi01d.html,245,Oregon,82,G-League
2018-19,WIS,39,21,1102,6.3,14.8,0.423,1.1,4.5,0.241,5.2,10.4,0.502,2.3,3.6,0.645,0.5,3,3.6,4.4,1.5,0.1,3.1,2.8,15.9,/gleague/players/d/duvaltr01d.html,189,Duke,75,G-League
2019-20,WOL,32,14,540,5.5,11.7,0.472,0.7,3.2,0.208,4.9,8.5,0.57,1.9,2.9,0.636,0.7,3.1,3.8,5.7,1.6,0.7,4.4,4.9,14.8,/gleague/players/d/duvaltr01d.html,189,Duke,75,G-League
2016-17,SAN,14,0,248,7.5,15.2,0.495,1.9,4.4,0.433,5.7,10.9,0.52,3.3,5.2,0.639,2.2,6.5,8.7,1.5,1.2,2,2.2,4.5,20.3,/gleague/players/e/earlycl01d.html,210,Wichita State,80,G-League
2017-18,TOT,33,22,957,6.2,12.4,0.5,1.4,4.4,0.325,4.8,8,0.596,1.8,2.3,0.8,1.7,4.7,6.4,2.9,1.2,1,2.2,2.9,15.6,/gleague/players/e/earlycl01d.html,210,Wichita State,80,G-League
2020-21,LIN,10,0,122,2.4,8.6,0.276,0.3,2.7,0.111,2.1,5.9,0.35,2.1,3.2,0.636,3.2,4.7,8,1.5,0.3,0.6,2.7,6.5,8.6,/gleague/players/e/ebouapa01d.html,NA,None,NA,G-League
2016-17,TOT,45,27,1273,6.3,13.7,0.46,3.2,7.8,0.415,3.1,5.9,0.519,2.1,2.5,0.862,0.7,4.3,5,2,0.7,0.5,2.2,2.3,17.9,/gleague/players/e/eddieja01d.html,220,Virginia Tech,79,G-League
2017-18,WCB,28,27,1023,5.5,12.4,0.443,3.5,7.9,0.44,2,4.5,0.449,2.8,3,0.919,0.6,4.9,5.4,1.8,1,0.4,1.6,2.1,17.2,/gleague/players/e/eddieja01d.html,220,Virginia Tech,79,G-League
2016-17,MAI,47,3,967,4.4,10.7,0.413,2.2,6.7,0.331,2.2,4,0.551,2.1,2.7,0.767,1,5.6,6.6,2.1,1.5,1.2,2.9,3.2,13.2,/gleague/players/e/edwarar01d.html,210,Alabama,78,G-League
2017-18,CAN,41,5,673,4.5,11.2,0.405,1.9,5.6,0.337,2.7,5.7,0.472,2.7,3.5,0.769,1.2,5.7,6.8,2,1.9,0.7,2.1,4.4,13.6,/gleague/players/e/edwarar01d.html,210,Alabama,78,G-League
2020-21,OKL,15,3,319,7.2,17.5,0.413,4.5,10.3,0.44,2.7,7.2,0.375,1.6,1.9,0.824,0.6,5.3,5.9,2.6,1,0.2,1.7,2.4,21.1,/gleague/players/e/edwarro01d.html,NA,Arizona State,NA,G-League
2016-17,DEL,8,1,204,6.2,13.4,0.461,0.4,2.6,0.133,5.8,10.8,0.541,3.7,5.5,0.677,1.4,8.5,9.9,0.5,0.2,1.6,1.8,2.3,16.4,/gleague/players/e/edwarsh01d.html,220,Little Rock,80,G-League
2017-18,DEL,11,0,180,3.6,7.6,0.474,0.2,1.8,0.111,3.4,5.8,0.586,3.4,4.2,0.81,2.8,6.6,9.4,2,1,1,2.4,5.4,10.8,/gleague/players/e/edwarsh01d.html,220,Little Rock,80,G-League
2018-19,RIO,31,30,948,4.3,11.3,0.38,2.2,7.1,0.316,2.1,4.2,0.491,0.6,1.1,0.607,1.9,4.2,6.1,2.5,0.8,0.6,1.3,2.8,11.5,/gleague/players/e/edwarvi01d.html,200,Purdue,75,G-League
2019-20,TOT,38,13,881,5.2,11.4,0.459,2.9,7.8,0.379,2.3,3.6,0.629,0.7,1,0.708,1,6.3,7.3,2.5,0.9,0.3,1.4,2.1,14.3,/gleague/players/e/edwarvi01d.html,200,Purdue,75,G-League
2020-21,OKL,11,0,188,5.6,14.6,0.382,3.3,10,0.327,2.3,4.6,0.5,0.8,1,0.8,0.6,5,5.6,1.7,1.1,0.2,1.9,2.1,15.5,/gleague/players/e/edwarvi01d.html,200,Purdue,75,G-League
2017-18,RAP,35,2,771,5.9,13.5,0.439,2.7,7.1,0.373,3.3,6.4,0.515,2.2,2.9,0.746,0.7,4.2,5,2.5,2.6,0.4,2.1,2.5,16.7,/gleague/players/e/edwinfu01d.html,207,None,78,G-League
2019-20,LIN,25,4,447,8.8,12.6,0.694,0.1,0.1,1,8.7,12.6,0.692,1.9,3.6,0.533,4.3,10.4,14.7,1,0.8,3.1,2.7,4.1,20.9,/gleague/players/e/egbunjo01d.html,257,None,82,G-League
2017-18,GRR,1,0,4,9,18,0.5,0,0,0,9,18,0.5,0,0,0,0,0,0,0,0,0,0,9,18,/gleague/players/e/egwunn01d.html,250,Illinois,83,G-League
2016-17,GRR,21,21,740,6.2,14.8,0.416,1.8,5.6,0.328,4.3,9.2,0.471,4,5,0.806,1.6,7.5,9.1,1.4,0.6,0.9,1.9,2.7,18.2,/gleague/players/e/ellenhe01d.html,240,Marquette,82,G-League
2017-18,GRR,2,2,83,6.9,16.5,0.421,3,7.8,0.389,3.9,8.7,0.45,8.7,10.8,0.8,1.3,6.9,8.2,0.9,0.4,0.4,3.5,2.2,25.6,/gleague/players/e/ellenhe01d.html,240,Marquette,82,G-League
2018-19,GRR,8,8,257,6.2,15.3,0.404,2.2,6.7,0.333,3.9,8.5,0.459,6.9,8.1,0.845,1.3,11.9,13.2,3.2,0.6,1.3,2.8,1.8,21.4,/gleague/players/e/ellenhe01d.html,240,Marquette,82,G-League
2019-20,TOT,28,23,934,7.7,14.6,0.524,2.6,6.7,0.385,5.1,7.9,0.641,2.6,3.2,0.829,1.9,8.2,10.1,3.2,0.6,1.2,1.8,2.7,22,/gleague/players/e/ellenhe01d.html,240,Marquette,82,G-League
2020-21,RAP,15,13,459,8.4,17,0.493,4.2,9.7,0.427,4.2,7.3,0.581,2.4,2.7,0.882,2.3,7.3,9.6,2.7,0.5,0.5,2.3,2.6,24.9,/gleague/players/e/ellenhe01d.html,240,Marquette,82,G-League
2017-18,OKL,3,0,7,5.1,20.6,0.25,5.1,15.4,0.333,0,5.1,0,0,0,0,5.1,5.1,10.3,0,0,0,0,5.1,15.4,/gleague/players/e/ellenwa01d.html,200,None,78,G-League
2016-17,SWR,50,12,1122,5.7,12.7,0.453,1.3,3.5,0.376,4.4,9.2,0.483,2.9,3.8,0.769,2.6,5,7.6,1.5,0.9,0.3,1.2,2.4,15.7,/gleague/players/e/ellispe01d.html,NA,Kansas,NA,G-League
2019-20,RAP,42,42,1438,6.8,15.3,0.448,1.4,4.2,0.323,5.5,11.1,0.494,2.2,2.5,0.861,1.3,4.4,5.6,7.8,2.1,0.4,3.5,2.5,18.1,/gleague/players/e/ennisty01d.html,194,Syracuse,75,G-League
