Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Player_href,Weight,College,Height
2017-18,29,PHI,NBA,SG,39,11,925,4.2,10.2,0.416,2.1,5.7,0.37,2.1,4.5,0.474,1.4,1.7,0.795,0.6,2.5,3.1,2.1,0.9,0.2,1.8,3.5,11.9,Jerryd Bayless,/players/b/bayleje01.html,200,Arizona,75
2018-19,30,MIN,NBA,PG,34,6,657,4.5,12.6,0.357,1.6,5.4,0.296,2.9,7.2,0.402,0.9,1.5,0.571,0.6,2.8,3.4,6.5,1,0.1,1.8,3.1,11.5,Jerryd Bayless,/players/b/bayleje01.html,200,Arizona,75
2016-17,30,DET,NBA,C,75,2,1163,4.4,8.6,0.513,0,0,0,4.4,8.6,0.513,2.4,2.9,0.84,3.4,6.9,10.3,1,0.5,1.2,1.5,5.1,11.3,Aron Baynes,/players/b/baynear01.html,260,Washington State,82
2017-18,31,BOS,NBA,C,81,67,1485,5.1,10.8,0.471,0.1,0.5,0.143,5,10.3,0.487,1.4,1.9,0.756,3.2,7.4,10.5,2.3,0.5,1.2,1.9,4.8,11.7,Aron Baynes,/players/b/baynear01.html,260,Washington State,82
2018-19,32,BOS,NBA,C,51,18,821,4.6,9.8,0.471,0.9,2.7,0.344,3.7,7.1,0.519,2.3,2.7,0.855,3.9,6.7,10.5,2.5,0.5,1.5,1.8,5.5,12.5,Aron Baynes,/players/b/baynear01.html,260,Washington State,82
2019-20,33,PHO,NBA,C,42,28,934,7.1,14.7,0.48,2.3,6.5,0.351,4.8,8.2,0.582,2.2,2.9,0.747,2.7,6.4,9.1,2.6,0.4,0.9,1.9,5.4,18.5,Aron Baynes,/players/b/baynear01.html,260,Washington State,82
2020-21,34,TOR,NBA,C,53,31,980,4.9,11.2,0.441,1,3.8,0.262,3.9,7.4,0.532,1.1,1.5,0.707,3.2,6.8,10,1.7,0.6,0.8,1.7,4.4,11.9,Aron Baynes,/players/b/baynear01.html,260,Washington State,82
2016-17,27,ATL,NBA,SF,73,64,1963,5.4,13.2,0.409,1.7,4.9,0.346,3.7,8.3,0.446,2.2,3.1,0.708,0.8,3.4,4.2,3.2,1.7,1,2.3,3,14.7,Kent Bazemore,/players/b/bazemke01.html,195,Old Dominion,76
2017-18,28,ATL,NBA,SG,65,65,1789,5.7,13.6,0.42,2.2,5.5,0.394,3.5,8.1,0.438,3.2,4,0.796,0.5,4.5,5,4.6,2,0.9,3.2,3,16.8,Kent Bazemore,/players/b/bazemke01.html,195,Old Dominion,76
2018-19,29,ATL,NBA,SG,67,35,1643,6.1,15.1,0.402,2.1,6.6,0.32,4,8.6,0.465,2.8,3.8,0.726,0.8,4.9,5.7,3.3,2,0.9,2.7,3.7,17.1,Kent Bazemore,/players/b/bazemke01.html,195,Old Dominion,76
